"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"2970","3881-49","Dynein light chain 1, cytoplasmic","DLC8","P63167","DYNLL1","RFU",20,"548.0","DYNLL1.3881.49"
"2971","3887-90","Importin subunit beta-1","IMB1","Q14974","KPNB1","RFU",20,"4837.5","KPNB1.3887.90"
"2972","3888-8","Inhibitor of growth protein 1","ING1","Q9UK53","ING1","RFU",20,"2042.7","ING1.3888.8"
"2973","3889-64","Lamin-B1","Lamin-B1","P20700","LMNB1","RFU",20,"495.8","LMNB1.3889.64"
"2974","3890-8","L-lactate dehydrogenase B chain","LDH-H 1","P07195","LDHB","RFU",0.005,"2115.0","LDHB.3890.8"
"2975","3891-56","Methyl-CpG-binding domain protein 4","MBD4","O95243","MBD4","RFU",20,"305.7","MBD4.3891.56"
"2976","3892-21","Mediator of RNA polymerase II transcription subunit 1","MED-1","Q15648","MED1","RFU",20,"573.6","MED1.3892.21"
"2977","3894-15","N-acetyl-D-glucosamine kinase","NAGK","Q9UJ70","NAGK","RFU",0.5,"668.5","NAGK.3894.15"
"2978","3896-5","Phosphoglycerate mutase 1","Phosphoglycerate mutase 1","P18669","PGAM1","RFU",20,"14521.9","PGAM1.3896.5"
"2979","3897-61","Pyridoxal phosphate phosphatase","PLPP","Q96GD0","PDXP","RFU",20,"1374.8","PDXP.3897.61"
"2980","3898-5","26S proteasome non-ATPase regulatory subunit 7","PSD7","P51665","PSMD7","RFU",20,"504.4","PSMD7.3898.5"
"2981","3902-21","S-phase kinase-associated protein 1","SKP1","P63208","SKP1","RFU",0.5,"1266.9","SKP1.3902.21"
"2982","3903-49","Sorting nexin-4","Sorting nexin 4","O95219","SNX4","RFU",20,"1447.4","SNX4.3903.49"
"2983","4122-12","Epithelial discoidin domain-containing receptor 1","discoidin domain receptor 1","Q08345","DDR1","RFU",20,"307.2","DDR1.4122.12"
"2984","4123-60","Fibroblast growth factor 4","FGF-4","P08620","FGF4","RFU",20,"205.6","FGF4.4123.60"
"2985","4124-24","Heat shock 70 kDa protein 1A","HSP 70","P0DMV8","HSPA1A","RFU",20,"1149.8","HSPA1A.4124.24"
"2986","4125-52","Advanced glycosylation end product-specific receptor, soluble","sRAGE","Q15109","AGER","RFU",20,"3249.9","AGER.4125.52"
"2987","4126-22","Bactericidal permeability-increasing protein","BPI","P17213","BPI","RFU",20,"3627.3","BPI.4126.22"
"2988","4127-75","Complement component C6","C6","P13671","C6","RFU",0.005,"51876.6","C6.4127.75"
"2989","4128-27","C-C motif chemokine 24","Eotaxin-2","O00175","CCL24","RFU",20,"538.5","CCL24.4128.27"
"2990","4129-72","Complement factor B","Factor B","P00751","CFB","RFU",0.005,"40088.5","CFB.4129.72"
"2991","4130-71","Fibroblast growth factor 6","FGF-6","P10767","FGF6","RFU",20,"269.5","FGF6.4130.71"
"2992","4131-72","Fibronectin","Fibronectin","P02751","FN1","RFU",0.005,"6335.0","FN1.4131.72"
"2993","4132-27","Follistatin","FST","P19883","FST","RFU",20,"685.0","FST.4132.27"
"2994","4133-54","Granzyme B","Granzyme B","P10144","GZMB","RFU",20,"360.3","GZMB.4133.54"
"2995","4136-40","Interleukin-17D","IL-17D","Q8TAD2","IL17D","RFU",20,"587.9","IL17D.4136.40"
"2996","4137-57","Interleukin-25","IL-17E","Q9H293","IL25","RFU",20,"354.4","IL25.4137.57"
"2997","4138-25","Interleukin-20","IL-20","Q9NYY1","IL20","RFU",20,"283.2","IL20.4138.25"
"2998","4141-79","C-X-C motif chemokine 10","IP-10","P02778","CXCL10","RFU",20,"800.9","CXCL10.4141.79"
"2999","4143-74","Lymphotactin","Lymphotactin","P47992","XCL1","RFU",20,"474.5","XCL1.4143.74"
"3000","4144-13","C-C motif chemokine 13","MCP-4","Q99616","CCL13","RFU",20,"226.4","CCL13.4144.13"
"3001","4145-58","Neurotrophin-3","Neurotrophin-3","P20783","NTF3","RFU",20,"303.6","NTF3.4145.58"
"3002","4146-58","Neurotrophin-4","Neurotrophin-5","P34130","NTF4","RFU",20,"431.3","NTF4.4146.58"
"3003","4148-49","Pappalysin-1","PAPP-A","Q13219","PAPPA","RFU",0.5,"11019.6","PAPPA.4148.49"
"3004","4149-8","Platelet-derived growth factor subunit B","PDGF-BB","P01127","PDGFB","RFU",20,"11563.3","PDGFB.4149.8"
"3005","4150-75","Plasmin","Plasmin","P00747","PLG","RFU",20,"1311.4","PLG.4150.75"
"3006","4151-6","Plasminogen","Plasminogen","P00747","PLG","RFU",0.005,"734.2","PLG.4151.6"
"3007","4152-58","Plasma kallikrein","Prekallikrein","P03952","KLKB1","RFU",0.005,"50998.5","KLKB1.4152.58"
"3008","4153-11","Alpha-1-antichymotrypsin complex","alpha-1-antichymotrypsin complex","P01011","SERPINA3","RFU",0.005,"6835.1","SERPINA3.4153.11"
"3009","4154-57","P-selectin","P-Selectin","P16109","SELP","RFU",0.5,"13436.9","SELP.4154.57"
"3010","4155-3","Tenascin","Tenascin","P24821","TNC","RFU",0.5,"6355.9","TNC.4155.3"
"3011","4156-74","Transforming growth factor beta-2","TGF-b2","P61812","TGFB2","RFU",20,"249.8","TGFB2.4156.74"
"3012","4158-54","Urokinase-type plasminogen activator","uPA","P00749","PLAU","RFU",20,"2551.3","PLAU.4158.54"
"3013","4159-130","Complement factor H","Factor H","P08603","CFH","RFU",0.005,"112415.7","CFH.4159.130"
"3014","4160-49","72 kDa type IV collagenase","MMP-2","P08253","MMP2","RFU",0.5,"14888.5","MMP2.4160.49"
"3015","4162-54","Serotransferrin","Transferrin","P02787","TF","RFU",0.005,"192951.1","TF.4162.54"
"3016","4163-5","Histone H2A.z","Histone H2A.z","P0C0S5","H2AFZ","RFU",20,"554.8","H2AFZ.4163.5"
"3017","4179-57","14-3-3 protein gamma","14-3-3 protein gamma","P61981","YWHAG","RFU",20,"33695.5","YWHAG.4179.57"
"3018","4184-43","Eukaryotic translation initiation factor 4E-binding protein 2","4EBP2","Q13542","EIF4EBP2","RFU",20,"295.5","EIF4EBP2.4184.43"
"3019","4187-49","6-phosphogluconate dehydrogenase, decarboxylating","6-Phosphogluconate dehydrogenase","P52209","PGD","RFU",0.5,"1501.3","PGD.4187.49"
"3020","4188-1","Aflatoxin B1 aldehyde reductase member 2","Aflatoxin B1 aldehyde reductase","O43488","AKR7A2","RFU",20,"3207.9","AKR7A2.4188.1"
"3021","4192-10","Alcohol dehydrogenase [NADP(+)]","AK1A1","P14550","AKR1A1","RFU",0.5,"1977.8","AKR1A1.4192.10"
"3022","4194-26","Acidic leucine-rich nuclear phosphoprotein 32 family member B","AN32B","Q92688","ANP32B","RFU",20,"578.7","ANP32B.4194.26"
"3023","4203-50","Cofilin-1","Cofilin-1","P23528","CFL1","RFU",0.5,"817.4","CFL1.4203.50"
"3024","4209-60","Vacuolar protein sorting-associated protein VTA1 homolog","DRG-1","Q9NP79","VTA1","RFU",20,"5082.2","VTA1.4209.60"
"3025","4212-5","Epidermal growth factor receptor substrate 15-like 1","EP15R","Q9UBC2","EPS15L1","RFU",20,"278.0","EPS15L1.4212.5"
"3026","4217-49","3-hydroxyacyl-CoA dehydrogenase type-2","ERAB","Q99714","HSD17B10","RFU",20,"807.9","HSD17B10.4217.49"
"3027","4220-39","Tyrosine-protein kinase Fer","FER","P16591","FER","RFU",20,"105.2","FER.4220.39"
"3028","4230-1","Eukaryotic translation initiation factor 4 gamma 2","IF4G2","P78344","EIF4G2","RFU",20,"967.7","EIF4G2.4230.1"
"3029","4232-19","Insulin-like growth factor 1 receptor","IGF-I sR","P08069","IGF1R","RFU",20,"4147.9","IGF1R.4232.19"
"3030","4234-8","Interleukin-1 receptor-like 1","IL-1 R4","Q01638","IL1RL1","RFU",0.5,"2861.0","IL1RL1.4234.8"
"3031","4237-70","Leucine carboxyl methyltransferase 1","LCMT1","Q9UIC8","LCMT1","RFU",20,"2745.7","LCMT1.4237.70"
"3032","4240-31","Pyruvate kinase PKM","M2-PK","P14618","PKM2","RFU",0.5,"2911.0","PKM2.4240.31"
"3033","4246-40","Neural cell adhesion molecule L1","NCAM-L1","P32004","L1CAM","RFU",20,"12944.0","L1CAM.4246.40"
"3034","4249-64","Nucleoside diphosphate kinase B","NDP kinase B","P22392","NME2","RFU",20,"6403.3","NME2.4249.64"
"3035","4250-23","NSFL1 cofactor p47","NSF1C","Q9UNZ2","NSFL1C","RFU",20,"705.9","NSFL1C.4250.23"
"3036","4254-6","NudC domain-containing protein 3","NUDC3","Q8IVD9","NUDCD3","RFU",20,"481.9","NUDCD3.4254.6"
"3037","4258-15","Proliferation-associated protein 2G4","PA2G4","Q9UQ80","PA2G4","RFU",20,"10004.6","PA2G4.4258.15"
"3038","4261-55","Serum paraoxonase/arylesterase 1","paraoxonase 1","P27169","PON1","RFU",20,"336.6","PON1.4261.55"
"3039","4267-81","Pescadillo homolog","PESC","O00541","PES1","RFU",20,"298.2","PES1.4267.81"
"3040","4271-75","Prefoldin subunit 5","PFD5","Q99471","PFDN5","RFU",20,"592.7","PFDN5.4271.75"
"3041","4272-46","Glucose-6-phosphate isomerase","PHI","P06744","GPI","RFU",20,"9683.3","GPI.4272.46"
"3042","4276-10","Phosphatidylethanolamine-binding protein 1","prostatic binding protein","P30086","PEBP1","RFU",0.5,"1704.0","PEBP1.4276.10"
"3043","4278-14","Protein disulfide-isomerase","Protein disulfide-isomerase","P07237","P4HB","RFU",20,"197.3","P4HB.4278.14"
"3044","4280-47","Proteasome subunit alpha type-2","PSA2","P25787","PSMA2","RFU",20,"679.5","PSMA2.4280.47"
"3045","4282-3","GTP-binding nuclear protein Ran","RAN","P62826","RAN","RFU",20,"454.7","RAN.4282.3"
"3046","4284-18","RNA-binding protein 39","RBM39","Q14498","RBM39","RFU",20,"385.7","RBM39.4284.18"
"3047","4292-5","Alpha-soluble NSF attachment protein","SNAA","P54920","NAPA","RFU",0.5,"1663.1","NAPA.4292.5"
"3048","4294-16","Sphingosine kinase 1","Sphingosine kinase 1","Q9NYA1","SPHK1","RFU",20,"539.6","SPHK1.4294.16"
"3049","4297-62","Spondin-1","Spondin-1","Q9HCB6","SPON1","RFU",0.5,"1766.8","SPON1.4297.62"
"3050","4301-58","Thymidine kinase, cytosolic","Thymidine kinase","P04183","TK1","RFU",20,"1094.6","TK1.4301.58"
"3051","4304-18","Ligand-dependent nuclear receptor corepressor-like protein","transcription factor MLR1, isoform CRA_b","Q8N3X6","LCORL","RFU",20,"195.1","LCORL.4304.18"
"3052","4306-4","Transketolase","Transketolase","P29401","TKT","RFU",0.5,"12941.6","TKT.4306.4"
"3053","4309-59","Triosephosphate isomerase","Triosephosphate isomerase","P60174","TPI1","RFU",0.5,"4608.6","TPI1.4309.59"
"3054","4314-12","dCTP pyrophosphatase 1","XTP3A","Q9H773","DCTPP1","RFU",20,"8339.2","DCTPP1.4314.12"
"3055","4318-12","Tyrosine-protein phosphatase non-receptor type 6","PTP-1C","P29350","PTPN6","RFU",20,"1501.2","PTPN6.4318.12"
"3056","4322-28","Protein amnionless","AMNLS","Q9BXJ7","AMN","RFU",20,"325.4","AMN.4322.28"
"3057","4324-33","Cystatin-SA","CYTT","P09228","CST2","RFU",20,"9730.0","CST2.4324.33"
"3058","4328-2","Brother of CDO","BOC","Q9BWV1","BOC","RFU",20,"2499.7","BOC.4328.2"
"3059","4332-6","C-type lectin domain family 1 member B","CLC1B","Q9P126","CLEC1B","RFU",20,"4372.2","CLEC1B.4332.6"
"3060","4337-49","C-reactive protein","CRP","P02741","CRP","RFU",0.5,"46254.2","CRP.4337.49"
"3061","4342-10","Intercellular adhesion molecule 1","sICAM-1","P05362","ICAM1","RFU",0.5,"2454.9","ICAM1.4342.10"
"3062","4355-13","Death-associated protein kinase 2","DAPK2","Q9UIK4","DAPK2","RFU",20,"1387.9","DAPK2.4355.13"
"3063","4359-87","Dual specificity tyrosine-phosphorylation-regulated kinase 3","DYRK3","O43781","DYRK3","RFU",20,"1104.4","DYRK3.4359.87"
"3064","4374-45","Growth/differentiation factor 15","MIC-1","Q99988","GDF15","RFU",20,"20520.6","GDF15.4374.45"
"3065","4389-2","Desert hedgehog protein N-product","DHH","O43323","DHH","RFU",20,"254.0","DHH.4389.2"
"3066","4392-54","Fibroblast growth factor 12","FGF-12","P61328","FGF12","RFU",20,"151.2","FGF12.4392.54"
"3067","4393-3","Fibroblast growth factor 16","FGF-16","O43320","FGF16","RFU",20,"1151.8","FGF16.4393.3"
"3068","4394-71","Fibroblast growth factor 8 isoform A","FGF-8A","P55075","FGF8","RFU",20,"366.5","FGF8.4394.71"
"3069","4396-54","Interferon lambda-1","IFN-lambda 1","Q8IU54","IFNL1","RFU",20,"137.1","IFNL1.4396.54"
"3070","4397-26","Interferon lambda-2","IFN-lambda 2","Q8IZJ0","IFNL2","RFU",20,"345.0","IFNL2.4397.26"
"3071","4407-10","Hepatocyte growth factor-like protein","MSP","P26927","MST1","RFU",0.005,"13271.6","MST1.4407.10"
"3072","4413-3","Antileukoproteinase","SLPI","P03973","SLPI","RFU",0.5,"2882.7","SLPI.4413.3"
"3073","4420-7","Disintegrin and metalloproteinase domain-containing protein 12","ADAM12","O43184","ADAM12","RFU",20,"344.9","ADAM12.4420.7"
"3074","4429-51","Carbohydrate sulfotransferase 6","CHST6","Q9GZX3","CHST6","RFU",20,"383.3","CHST6.4429.51"
"3075","4430-44","Collectin-11","Collectin Kidney 1","Q9BWP8","COLEC11","RFU",0.5,"3460.1","COLEC11.4430.44"
"3076","4435-66","Ectonucleotide pyrophosphatase/phosphodiesterase family member 7","ENPP7","Q6UWV6","ENPP7","RFU",20,"4932.2","ENPP7.4435.66"
"3077","4437-56","Ectonucleoside triphosphate diphosphohydrolase 5","ENTP5","O75356","ENTPD5","RFU",0.5,"6057.1","ENTPD5.4437.56"
"3078","4440-15","Fc receptor-like protein 3","FCRL3","Q96P31","FCRL3","RFU",20,"601.0","FCRL3.4440.15"
"3079","4453-83","Leucine-rich repeat transmembrane neuronal protein 3","LRRT3","Q86VH5","LRRTM3","RFU",20,"193.3","LRRTM3.4453.83"
"3080","4455-89","Lactadherin","MFGM","Q08431","MFGE8","RFU",0.5,"309.7","MFGE8.4455.89"
"3081","4459-68","Proprotein convertase subtilisin/kexin type 7","PCSK7","Q16549","PCSK7","RFU",20,"2385.1","PCSK7.4459.68"
"3082","4460-8","3-phosphoinositide-dependent protein kinase 1","PDPK1","O15530","PDPK1","RFU",20,"208.2","PDPK1.4460.8"
"3083","4464-10","Sialoadhesin","Sialoadhesin","Q9BZZ2","SIGLEC1","RFU",20,"966.5","SIGLEC1.4464.10"
"3084","4467-49","SPARC-like protein 1","SPARCL1","Q14515","SPARCL1","RFU",0.5,"9872.5","SPARCL1.4467.49"
"3085","4468-21","Sphingosine kinase 2","SPHK2","Q9NRA0","SPHK2","RFU",20,"654.2","SPHK2.4468.21"
"3086","4469-78","Carbohydrate sulfotransferase 15","ST4S6","Q7LFX5","CHST15","RFU",0.5,"4239.1","CHST15.4469.78"
"3087","4479-14","Plasma protease C1 inhibitor","C1-Esterase Inhibitor","P05155","SERPING1","RFU",0.5,"8341.5","SERPING1.4479.14"
"3088","4481-34","Complement C4","C4","P0C0L4 P0C0L5","C4A C4B","RFU",0.005,"117668.1","C4A.C4B.4481.34"
"3089","4482-66","Complement C5b-C6 complex","C5b, 6 Complex","P01031 P13671","C5 C6","RFU",0.005,"2478.5","C5.C6.4482.66"
"3090","4487-1","Fibroblast growth factor 7","FGF7","P21781","FGF7","RFU",20,"933.6","FGF7.4487.1"
"3091","4493-92","Interleukin-11","IL-11","P20809","IL11","RFU",20,"332.9","IL11.4493.92"
"3092","4496-60","Macrophage metalloelastase","MMP-12","P39900","MMP12","RFU",20,"1014.9","MMP12.4496.60"
"3093","4498-62","Neural cell adhesion molecule 1, 120 kDa isoform","NCAM-120","P13591","NCAM1","RFU",0.5,"10195.6","NCAM1.4498.62"
"3094","4499-21","Platelet-derived growth factor subunit A","PDGF-AA","P04085","PDGFA","RFU",20,"2534.3","PDGFA.4499.21"
"3095","4500-50","Stem cell growth factor-alpha","SCGF-alpha","Q9Y240","CLEC11A","RFU",0.5,"3095.9","CLEC11A.4500.50"
"3096","4533-76","A disintegrin and metalloproteinase with thrombospondin motifs 15","ATS15","Q8TE58","ADAMTS15","RFU",20,"543.7","ADAMTS15.4533.76"
"3097","4534-10","Brain-specific serine protease 4","BSSP4","Q9GZN4","PRSS22","RFU",20,"1129.9","PRSS22.4534.10"
"3098","4535-50","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2","BST1","Q10588","BST1","RFU",20,"11320.4","BST1.4535.50"
"3099","4540-11","Chromobox protein homolog 5","CBX5","P45973","CBX5","RFU",20,"1303.0","CBX5.4540.11"
"3100","4541-49","Cell adhesion molecule-related/down-regulated by oncogenes","CDON","Q4KMG0","CDON","RFU",0.5,"6197.2","CDON.4541.49"
"3101","4542-24","Clusterin","Clusterin","P10909","CLU","RFU",0.5,"25040.4","CLU.4542.24"
"3102","4543-65","Collagen alpha-1(XXIII) chain","CONA1","Q86Y22","COL23A1","RFU",20,"437.5","COL23A1.4543.65"
"3103","4544-4","Connective tissue-activating peptide III","CTAP-III","P02775","PPBP","RFU",0.005,"13388.2","PPBP.4544.4"
"3104","4545-53","Mitochondrial import inner membrane translocase subunit TIM14","DnaJ homolog","Q96DA6","DNAJC19","RFU",20,"665.9","DNAJC19.4545.53"
"3105","4547-59","Leucine-rich repeat transmembrane protein FLRT1","FLRT1","Q9NZU1","FLRT1","RFU",20,"879.0","FLRT1.4547.59"
"3106","4548-4","Galactoside 3(4)-L-fucosyltransferase","Fucosyltransferase 3","P21217","FUT3","RFU",20,"597.8","FUT3.4548.4"
"3107","4549-78","Alpha-(1,3)-fucosyltransferase 5","FUT5","Q11128","FUT5","RFU",20,"4519.0","FUT5.4549.78"
"3108","4551-72","Adhesion G-protein coupled receptor G5","GP114","Q8IZF4","ADGRG5","RFU",20,"924.8","ADGRG5.4551.72"
"3109","4553-65","Hepatoma-derived growth factor-related protein 2","HDGR2","Q7Z4V5","HDGFRP2","RFU",20,"579.5","HDGFRP2.4553.65"
"3110","4557-61","Kin of IRRE-like protein 3","KIRR3","Q8IZU9","KIRREL3","RFU",20,"384.8","KIRREL3.4557.61"
"3111","4559-64","Kynureninase","KYNU","Q16719","KYNU","RFU",20,"1753.8","KYNU.4559.64"
"3112","4560-34","Tyrosine-protein kinase Lck","LCK","P06239","LCK","RFU",20,"452.1","LCK.4560.34"
"3113","4562-1","Neurexophilin-1","NXPH1","P58417","NXPH1","RFU",20,"30149.8","NXPH1.4562.1"
"3114","4563-61","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1","PLCG1","P19174","PLCG1","RFU",20,"1284.2","PLCG1.4563.61"
"3115","4564-2","Plexin-C1","PLXC1","O60486","PLXNC1","RFU",20,"12874.2","PLXNC1.4564.2"
"3116","4566-24","R-spondin-2","RSPO2","Q6UXX9","RSPO2","RFU",20,"443.9","RSPO2.4566.24"
"3117","4567-82","SH2 domain-containing protein 1A","SH21A","O60880","SH2D1A","RFU",20,"2983.3","SH2D1A.4567.82"
"3118","4568-17","SLIT and NTRK-like protein 5","SLIK5","O94991","SLITRK5","RFU",20,"1811.3","SLITRK5.4568.17"
"3119","4569-52","VPS10 domain-containing receptor SorCS2","SORC2","Q96PQ0","SORCS2","RFU",20,"1589.2","SORCS2.4569.52"
"3120","4584-5","Melittin_VESMG","MEL_VESMG","P68408","MELT","RFU",0.5,"160.9","MELT.4584.5"
"3121","4588-1","Pancreatic hormone","PH","P01298","PPY","RFU",20,"1565.4","PPY.4588.1"
"3136","4673-13","Interleukin-6","IL-6","P05231","IL6","RFU",20,"268.0","IL6.4673.13"
"3137","4693-72","3-hydroxyisobutyrate dehydrogenase, mitochondrial","3HIDH","P31937","HIBADH","RFU",20,"710.9","HIBADH.4693.72"
"3138","4697-59","Granulocyte-macrophage colony-stimulating factor","GM-CSF","P04141","CSF2","RFU",20,"338.7","CSF2.4697.59"
"3139","4703-87","Lymphotoxin-alpha","TNF-b","P01374","LTA","RFU",20,"785.7","LTA.4703.87"
"3140","4706-17","Protein 4.1","41","P11171","EPB41","RFU",0.5,"4992.6","EPB41.4706.17"
"3141","4707-50","14-3-3 protein eta","14-3-3 eta","Q04917","YWHAH","RFU",20,"3565.5","YWHAH.4707.50"
"3142","4708-3","Estradiol 17-beta-dehydrogenase 1","17-beta-HSD 1","P14061","HSD17B1","RFU",20,"1100.3","HSD17B1.4708.3"
"3143","4712-28","Apolipoprotein D","Apo D","P05090","APOD","RFU",0.5,"3600.4","APOD.4712.28"
"3144","4717-55","Interleukin-3","IL-3","P08700","IL3","RFU",20,"711.2","IL3.4717.55"
"3145","4718-5","Peptidyl-prolyl cis-trans isomerase B","PPIB","P23284","PPIB","RFU",20,"2078.2","PPIB.4718.5"
"3146","4719-58","Protein disulfide-isomerase A3","Protein disulfide isomerase A3","P30101","PDIA3","RFU",0.5,"2772.1","PDIA3.4719.58"
"3147","4721-54","Trefoil factor 3","TFF3","Q07654","TFF3","RFU",0.5,"5459.4","TFF3.4721.54"
"3148","4763-31","Afamin","Afamin","P43652","AFM","RFU",0.005,"46807.6","AFM.4763.31"
"3149","4769-10","Olfactomedin-4","Olfactomedin-4","Q6UX06","OLFM4","RFU",20,"176.0","OLFM4.4769.10"
"3150","4771-10","Acid sphingomyelinase-like phosphodiesterase 3a","ASM3A","Q92484","SMPDL3A","RFU",0.5,"1934.7","SMPDL3A.4771.10"
"3151","4775-34","Gelsolin","Gelsolin","P06396","GSN","RFU",0.005,"537.0","GSN.4775.34"
"3152","4785-30","Corticosteroid-binding globulin","CBG","P08185","SERPINA6","RFU",20,"1060.1","SERPINA6.4785.30"
"3153","4792-51","gp41 C34 peptide, HIV","C34 gp41 HIV Fragment","Q70626","Human-virus","RFU",20,"598.6","Human.virus.4792.51"
"3154","4801-13","Lactoperoxidase","PERL","P22079","LPO","RFU",20,"1400.4","LPO.4801.13"
"3155","4807-13","Collagen alpha-1(VIII) chain","CO8A1","P27658","COL8A1","RFU",20,"2885.1","COL8A1.4807.13"
"3156","4811-33","Inter-alpha-trypsin inhibitor heavy chain H4","ITI heavy chain H4","Q14624","ITIH4","RFU",0.005,"34292.3","ITIH4.4811.33"
"3157","4829-43","14-3-3 protein sigma","STRATIFIN","P31947","SFN","RFU",20,"4837.9","SFN.4829.43"
"3158","4831-4","L-Selectin","sL-Selectin","P14151","SELL","RFU",0.005,"6485.5","SELL.4831.4"
"3159","4832-75","Tumor necrosis factor receptor superfamily member 10A","TRAIL R1","O00220","TNFRSF10A","RFU",20,"786.1","TNFRSF10A.4832.75"
"3160","4834-61","Ephrin type-A receptor 2","Epithelial cell kinase","P29317","EPHA2","RFU",20,"1466.8","EPHA2.4834.61"
"3161","4840-73","Granulocyte colony-stimulating factor","G-CSF","P09919","CSF3","RFU",20,"1808.2","CSF3.4840.73"
"3162","4842-62","Glypican-3","Glypican 3","P51654","GPC3","RFU",20,"509.6","GPC3.4842.62"
"3163","4851-25","Interleukin-1 alpha","IL-1a","P01583","IL1A","RFU",20,"647.3","IL1A.4851.25"
"3164","4862-63","Bone morphogenetic protein receptor type-2","BMP RII","Q13873","BMPR2","RFU",20,"599.6","BMPR2.4862.63"
"3165","4866-59","BDNF/NT-3 growth factors receptor","TrkB","Q16620","NTRK2","RFU",20,"9258.0","NTRK2.4866.59"
"3166","4867-15","Vascular endothelial growth factor A, isoform 121","VEGF121","P15692","VEGFA","RFU",20,"397.3","VEGFA.4867.15"
"3167","4874-3","Angiogenin","Angiogenin","P03950","ANG","RFU",0.005,"4635.4","ANG.4874.3"
"3168","4876-32","Coagulation factor IX","Coagulation Factor IX","P00740","F9","RFU",0.005,"15743.2","F9.4876.32"
"3169","4878-3","Coagulation Factor X","Coagulation Factor X","P00742","F10","RFU",0.005,"1854.0","F10.4878.3"
"3170","4880-21","Growth/differentiation factor 2","GDF2","Q9UK05","GDF2","RFU",20,"1825.8","GDF2.4880.21"
"3171","4883-56","Insulin","Insulin","P01308","INS","RFU",20,"200.1","INS.4883.56"
"3172","4886-3","C-C motif chemokine 7","MCP-3","P80098","CCL7","RFU",20,"646.6","CCL7.4886.3"
"3173","4889-82","Protein Wnt-7a","WNT7A","O00755","WNT7A","RFU",20,"199.3","WNT7A.4889.82"
"3174","4890-10","Corticotropin","ACTH","P01189","POMC","RFU",20,"446.7","POMC.4890.10"
"3175","4891-50","Glucagon","Glucagon","P01275","GCG","RFU",20,"1456.6","GCG.4891.50"
"3176","4900-8","C3a anaphylatoxin","C3a","P01024","C3","RFU",0.5,"186436.8","C3.4900.8"
"3177","4903-72","Calcineurin","Calcineurin","Q08209 P63098","PPP3CA PPP3R1","RFU",20,"3996.0","PPP3CA.PPP3R1.4903.72"
"3178","4904-7","Caspase-2","Caspase-2","P42575","CASP2","RFU",20,"415.8","CASP2.4904.7"
"3179","4905-63","Coactosin-like protein","Coactosin-like protein","Q14019","COTL1","RFU",0.5,"1085.3","COTL1.4905.63"
"3180","4906-35","Coagulation Factor V","Coagulation Factor V","P12259","F5","RFU",0.005,"17702.1","F5.4906.35"
"3181","4907-56","D-dimer","D-dimer","P02671 P02675 P02679","FGA FGB FGG","RFU",0.005,"17651.1","FGA.FGB.FGG.4907.56"
"3182","4908-6","Endoglin","Endoglin","P17813","ENG","RFU",20,"3117.1","ENG.4908.6"
"3183","4909-68","Galectin-8","Galectin-8","O00214","LGALS8","RFU",20,"175.5","LGALS8.4909.68"
"3185","4911-49","Glutathione S-transferase P","Glutathione S-transferase Pi","P09211","GSTP1","RFU",20,"2908.0","GSTP1.4911.49"
"3186","4912-17","Aspartate aminotransferase, cytoplasmic","GOT1","P17174","GOT1","RFU",0.5,"1918.6","GOT1.4912.17"
"3187","4913-78","C-C motif chemokine 16","HCC-4","O15467","CCL16","RFU",0.5,"21610.5","CCL16.4913.78"
"3188","4916-2","Immunoglobulin D","IgD","P01880","IGHD IGK@ IGL@","RFU",0.5,"17774.5","IGHD.IGK@.IGL@.4916.2"
"3190","4920-10","Lysozyme C","Lysozyme","P61626","LYZ","RFU",0.005,"1338.8","LYZ.4920.10"
"3191","4922-13","C-C motif chemokine 19","MIP-3b","Q99731","CCL19","RFU",20,"671.8","CCL19.4922.13"
"3192","4923-79","Muellerian-inhibiting factor","MIS","P03971","AMH","RFU",0.5,"5081.9","AMH.4923.79"
"3193","4924-32","Interstitial collagenase","MMP-1","P03956","MMP1","RFU",20,"7611.5","MMP1.4924.32"
"3194","4925-54","Collagenase 3","MMP-13","P45452","MMP13","RFU",20,"376.6","MMP13.4925.54"
"3195","4929-55","Sex hormone-binding globulin","SHBG","P04278","SHBG","RFU",0.005,"4958.1","SHBG.4929.55"
"3196","4930-21","Stanniocalcin-1","Stanniocalcin-1","P52823","STC1","RFU",0.5,"1789.2","STC1.4930.21"
"3197","4931-59","Tissue Factor","TF","P13726","F3","RFU",20,"1788.0","F3.4931.59"
"3198","4959-2","Anterior gradient protein 2 homolog","AGR2","O95994","AGR2","RFU",20,"2707.5","AGR2.4959.2"
"3199","4960-72","Annexin A1","annexin I","P04083","ANXA1","RFU",20,"6719.8","ANXA1.4960.72"
"3200","4961-17","Annexin A2","annexin II","P07355","ANXA2","RFU",0.5,"720.5","ANXA2.4961.17"
"3201","4962-52","Cerebral dopamine neurotrophic factor","ARMEL","Q49AH0","CDNF","RFU",20,"1685.5","CDNF.4962.52"
"3202","4963-19","cAMP-regulated phosphoprotein 19","ARP19","P56211","ARPP19","RFU",20,"543.1","ARPP19.4963.19"
